,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62
44071,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625.3148,50056868957.6732,47209359005.6056,50706799902.5103,59708343488.5043,70436266146.7219,76720285969.6157,72881631326.6715,70846535055.6503,79705906247.4612,92602973434.0726,99800958648.1436,113687586299.051,138544284708.957,144182133387.722,163431551779.761,153940455341.50598,174938098826.569,149540752829.268,178280594413.043,191149211575.0,195866382432.54,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.24603,272972974764.57397,312353631207.819,347768051311.741,360857912565.966,383373318083.62396,426915712711.146,444731282436.762,564324670005.917,734547898220.5079,863746717503.7891,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384.0,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11190992550229.5,12237700479375.0,
44072,China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-27.270000003946098,-5.579999990136,10.299999995275801,18.179999994202,16.950000002496,10.650000004173599,-5.7700000042250705,-4.099999992141431,16.9399999961092,19.299999996256002,7.060000003351799,3.80999999825444,7.7600000016445,2.31000000049113,8.720000000475121,-1.57000000275067,7.569999999171669,11.666644003289301,7.60000000000034,7.80669144981401,5.17241379310337,8.9344262295084,10.835214446952401,15.1391717583164,13.4433962264152,8.939708939708769,11.68893129771,11.2345151644596,4.18586789554524,3.90711389605613,9.294075913444491,14.216163583252099,13.867576015913698,13.0521587222365,10.9492273730684,9.92837246319102,9.23076923076908,7.83761391880728,7.66748617086637,8.49150849150834,8.33991054985566,9.13064594463337,10.035603026256801,10.1112234580387,11.395775941230399,12.719479020690802,14.231388035688,9.65428937259927,9.399813171415358,10.6361404632298,9.5364430080555,7.85626211026953,7.757635146170241,7.29766595938155,6.9002048167243695,6.69999999999993,6.90000000000013,
44073,China,CHN,GDP per capita (Current US$),NY.GDP.PCAP.CD,89.52054151035841,75.8058379259965,70.90941166710071,74.3136434486145,85.4985551596313,98.48677775222059,104.324566181147,96.5895319417819,91.4727183066072,100.12990326618,113.16299155468599,118.65457778534599,131.883561243868,157.090374298657,160.140093727686,178.34181960809602,165.40554037241998,185.42283291367298,156.396388520044,183.983152215978,194.80472218683602,197.07147449910198,203.33491950346402,225.431928890812,250.71396904698798,294.45884850496003,281.928120911563,251.811956961329,283.537695240524,310.8819124049,317.884673040928,333.142145400184,366.46069230207297,377.38983947995797,473.492278718042,609.6566792024839,709.413755085039,781.744164341053,828.580479295681,873.2870617257901,959.372483639691,1053.1082430045199,1148.5082904417,1288.64325183381,1508.6680978826598,1753.41782925823,2099.22943460447,2695.36591709669,3471.2480543115003,3838.43397176904,4560.512586009289,5633.7957168394,6337.88332279255,7077.7707653955795,7683.502613091179,8069.2130238951095,8117.267465431791,8826.99409574835,
44090,China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.233835531,18.81181794,18.24563836,3.0522901210000004,3.556685652,6.35398134,14.61007864,24.25734106,16.78945197,8.312847152,2.787113448,-0.849543449,-1.358514164,0.25651828600000004,0.7198080920000001,-0.7667194540000001,1.164517601,3.888815681,1.8139951559999998,1.46607832,4.767210585,5.8430242429999995,-0.700630985,3.325774987,5.410918113999999,2.643051771,2.62808601,2.000344887,1.437024514,2.0,,
44256,China,CHN,"Rural population, female (% of total)",SP.RUR.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,39.234259640351,,,,,37.4062293196172,,,,,35.765113104273205,,,,,33.2339688993901,,,,,30.9196370903814,,,,,27.7081909333875,,,,,24.4980593048208,,,,,21.390966097716397,,,
44257,China,CHN,"Rural population, male (% of total)",SP.RUR.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,41.408006991763294,,,,,39.720078810203205,,,,,37.7925210373176,,,,,35.804730705953496,,,,,33.203090526690694,,,,,29.7695984681875,,,,,26.2759390567295,,,,,22.995004947962602,,,
44292,China,CHN,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53599977493286,4.03999996185303,3.9590001106262203,3.9449999332427996,4.117000102996831,4.13399982452393,4.12599992752075,4.22800016403198,4.18900012969971,4.02600002288818,4.019999980926509,3.9089999198913596,3.80699992179871,3.8039999008178698,3.6559998989105202,3.5329999923706095,3.31299996376038,3.83800005912781,3.76699995994568,3.6789999008178698,3.79500007629395,3.9019999504089395,3.95799994468689,3.99900007247925,4.00500011444092,4.13100004196167,4.23699998855591,
44293,China,CHN,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44294,China,CHN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1810002326965305,4.67799997329712,4.63500022888184,4.66400003433228,4.90500020980835,4.96400022506714,4.98899984359741,5.140999794006349,5.11899995803833,4.94299983978271,4.94700002670288,4.81799983978271,4.699999809265139,4.7010002136230495,4.53000020980835,4.37400007247925,4.11600017547607,4.77400016784668,4.69899988174438,4.609000205993651,4.76800012588501,4.91499996185303,4.9959998130798295,5.05800008773804,5.07299995422363,5.05100011825562,5.013999938964839,
44295,China,CHN,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67806,India,IND,GDP (current US$),NY.GDP.MKTP.CD,36535925031.34,38709096075.6305,41599070242.3094,47776000900.0302,55726873083.5543,58760424669.8482,45253641303.1897,49466168890.9507,52377324284.1951,57668330026.3629,61589800519.5084,66452561865.8332,70509913049.4003,84374541630.2062,98198276856.6209,97159222024.1364,101346972433.934,119866746574.408,135468782808.69,150950826964.424,183839864649.15,190909548789.76898,198037712681.605,215350771428.33102,209328156800.867,229410293759.071,245664654062.87302,275311425331.64,292632656262.687,292093308319.64197,316697337894.513,266502281094.117,284363884080.101,275570363431.902,322909902308.89197,355475984177.451,387656017798.596,410320300470.28296,415730874171.13,452699998386.914,462146799337.698,478965491060.771,508068952065.901,599592902016.345,699688852930.276,808901077222.8391,920316529729.7471,1201111768410.27,1186952757636.11,1323940295874.06,1656617073124.71,1823049927772.05,1827637859136.23,1856722121394.42,2039127446299.3,2102390808997.09,2274229710530.03,2597491162897.67,
67807,India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.7227425326980197,2.9311277366599704,5.994353260951071,7.45295012232985,-2.63577010985354,-0.0553287698313909,7.82596303033046,3.3879291760028396,6.53970029628042,5.15722973608266,1.6429303838873601,-0.553301312377457,3.29552113522415,1.1853362603392599,9.149912014806349,1.66310363661313,7.25476458583543,5.712532089001059,-5.238182702789089,6.735821527998719,6.00620362381703,3.47573324031281,7.2888929012462595,3.82073785597316,5.25429922330902,4.77656417048912,3.9653556339063702,9.627782919847679,5.94734332826579,5.533454563064639,1.05683143308192,5.48239602152279,4.75077621970128,6.65892406734602,7.574491840333519,7.549522248865269,4.04982084906756,6.18441582070948,8.845755561098981,3.84099115689808,4.82396626398834,3.8039753212724303,7.8603814754530195,7.92294341849401,9.28482461599893,9.263964758936382,9.801360336715119,3.89095706249564,8.47978389690218,10.259963064554501,6.63836379999493,5.45638755164701,6.386106400923481,7.410227605164049,8.15442502779908,7.11268609726157,6.62422711604482,
67808,India,IND,GDP per capita (Current US$),NY.GDP.PCAP.CD,81.28476374967441,84.4264369282297,88.91491859604771,100.048591708733,114.31516095901199,118.06338245921002,89.0535834865115,95.33078293868391,98.83123468950649,106.496379410417,111.25757064835399,117.360738098198,121.692288584884,142.27008132107,161.763010636773,156.380095043253,159.4077984504,184.272874925974,203.558704553882,221.687947434428,263.840719769997,267.711010271815,271.33359614926104,288.307169715403,273.901826603638,293.48864710527,307.395346033629,337.063996179221,350.672739060749,342.723898139122,363.964087319698,300.09663658917196,313.860110097812,298.21766383250196,342.717518681973,370.10135530585,396.01461228492303,411.387720784423,409.194385865156,437.586117820096,438.864630447894,447.013896578172,466.20080422626296,541.13522787231,621.318376718509,707.008019015027,792.025969759363,1018.16637300127,991.484630405176,1090.3177645434,1345.77015320926,1461.67195733892,1446.98540954319,1452.1953732317802,1576.0040181767301,1606.0382849889002,1717.47387802956,1939.61298448814,
67825,India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.783264746,1.7520215630000002,3.57615894,2.9411764710000003,13.35403727,9.479452055,10.81081081,13.0532972,2.996404315,0.574712644,5.095238095,3.0811055730000003,6.461538462,16.92815855,28.60169492,5.738605162000001,-7.63438068,8.321619342,2.517518817,6.253164557000001,11.365260899999999,13.11510484,7.887270664,11.86886396,8.32157969,5.555555556,8.730811403999999,8.798689021,9.384775807999999,3.26256011,8.971233545,13.87024609,11.78781925,6.362038664,10.21150033,10.22488756,8.977149075,7.16425362,13.230840900000002,4.669821024,4.009433962,3.684807256,4.392199745,3.8058659219999997,3.76723848,4.246353323,6.145522388,6.369996746,8.351816443999999,10.87739112,11.99229692,8.857845297,9.312445605,10.90764331,6.649500151,4.906973441,4.941447235,,
